Stop_distance_mm,Right_distance_mm,Left_distance_mm,Decision,Moving_distance_mm
0.122092807,31,44,left,15
0.591810835,34,26,right,12
0.31329866,26,31,left,15
0.352301223,29,42,left,13
0.719567321,30,34,left,13
0.96476792,29,42,left,15
0.366533982,34,28,right,11
0.336985354,31,41,left,15
0.709488934,26,41,left,11
0.374046816,28,37,left,12
0.043327978,29,38,left,15
0.197526616,33,27,right,12
0.954991193,35,43,left,12
0.594719721,33,35,left,12
0.328443011,29,29,left,10
0.230419725,29,39,left,10
0.61719962,29,39,left,14
0.64689794,28,35,left,13
0.38482386,35,33,right,13
0.908156282,33,36,left,14
0.998836595,30,28,right,11
0.904560497,31,39,left,11
0.839958191,35,36,left,14
0.931784941,31,28,right,12
0.149828172,26,39,left,15
0.109531514,29,44,left,15
0.220503311,27,40,left,11
0.847527198,28,26,right,11
0.104135742,35,44,left,10
0.908905189,28,36,left,10
0.887882008,26,41,left,11
0.864258468,28,45,left,15
0.402562017,35,30,right,11
0.64517925,31,32,left,15
0.620698815,31,42,left,11
0.511777483,33,29,right,11
0.031212821,35,30,right,11
0.207763462,31,38,left,15
0.43075935,32,27,right,14
0.227974541,35,41,left,14
0.481568598,32,27,right,12
0.271852332,31,45,left,10
0.75686872,28,41,left,13
0.905694011,30,26,right,14
0.946888813,33,31,right,10
0.144936437,33,43,left,13
0.253203692,35,32,right,10
0.826716847,31,35,left,13
0.949518177,34,43,left,11
0.51434681,34,37,left,14
0.127780527,29,45,left,15
0.385081657,34,32,right,10
0.05831052,29,43,left,12
0.901058589,27,38,left,14
0.200338441,32,37,left,14
0.088819327,26,32,left,10
0.420810764,27,43,left,13
0.175625207,29,40,left,13
0.578770396,34,35,left,12
0.768015034,25,44,left,13
0.517074912,35,45,left,14
0.824473466,35,37,left,11
0.753553799,35,30,right,14
0.397839733,32,30,right,12
0.89713622,32,25,right,11
0.913407731,27,37,left,12
0.749752664,27,39,left,14
0.048791371,34,38,left,10
0.819532169,29,40,left,11
0.681119437,35,27,right,11
0.180622258,28,36,left,14
0.505334921,31,26,right,14
0.04411535,26,28,left,11
0.79583389,26,36,left,13
0.643083376,25,28,left,15
0.76855744,30,34,left,10
0.560768701,31,45,left,15
0.030153992,35,41,left,11
0.594152662,29,41,left,12
0.155236936,26,45,left,15
0.994247938,27,36,left,14
0.048840904,31,42,left,10
0.700430987,33,29,right,14
0.602761898,34,25,right,15
0.627546246,29,29,left,10
0.328881929,33,40,left,10
0.71633293,26,29,left,11
0.750163755,26,25,right,11
0.663028967,33,32,right,10
0.037855696,34,31,right,15
0.828438111,29,30,left,11
0.452913337,29,29,left,14
0.016170043,26,32,left,10
0.686829635,30,43,left,11
0.36714242,28,37,left,12
0.802226194,32,42,left,14
0.639422798,25,30,left,14
0.884109572,28,35,left,14
0.518714078,29,26,right,15
0.201701285,27,30,left,12
0.044030139,33,30,right,13
0.870326743,29,36,left,15
0.424976138,30,25,right,10
0.131945807,25,28,left,11
0.058692661,33,42,left,15
0.22167703,35,40,left,10
0.990319344,35,42,left,15
0.084947099,30,32,left,14
0.663882989,35,25,right,11
0.182923192,29,45,left,12
0.327006215,32,35,left,13
0.185410581,25,30,left,14
0.291469505,34,29,right,11
0.853471158,35,26,right,13
0.415699833,29,31,left,14
0.100823595,29,25,right,11
0.872699452,33,43,left,12
0.945092998,31,30,right,12
0.152846941,35,43,left,14
0.568040828,29,27,right,10
0.951257489,34,35,left,15
0.460599161,31,28,right,11
0.822805777,30,44,left,13
0.117790941,28,44,left,11
0.474482131,30,25,right,15
0.753100233,25,37,left,10
0.251955083,35,36,left,15
0.754205526,28,43,left,15
0.554198355,30,27,right,15
0.88665214,30,35,left,14
0.349920768,29,25,right,10
0.045652367,31,41,left,11
0.94581264,29,30,left,15
0.678034243,29,31,left,14
0.574565602,31,34,left,13
0.272278311,27,25,right,11
0.679474461,26,36,left,10
0.995053606,28,25,right,11
0.731218673,27,43,left,15
0.147050508,27,44,left,12
0.511964846,30,44,left,13
0.09314403,33,30,right,15
0.667428826,35,37,left,10
0.926046667,31,38,left,15
0.066278675,34,37,left,13
0.36785962,29,41,left,15
0.15392975,33,39,left,13
0.18391733,33,42,left,14
0.908603081,29,41,left,14
0.772139798,26,31,left,11
0.727329338,31,37,left,15
0.792018162,26,41,left,12
0.512835846,35,39,left,13
0.94969109,31,39,left,14
0.73163211,29,30,left,12
0.535443299,26,36,left,14
0.64564919,34,38,left,15
0.756896796,28,45,left,14
0.414567416,27,28,left,14
0.8986862,27,31,left,12
0.649019367,33,30,right,12
0.144275861,30,30,left,11
0.534471561,26,30,left,13
0.332238205,33,25,right,11
0.257059444,30,35,left,15
0.369847697,26,29,left,15
0.82674155,31,28,right,14
0.31863853,25,28,left,11
0.782091664,30,35,left,12
0.589653177,32,29,right,14
0.367823049,33,29,right,13
0.306053575,32,42,left,10
0.267180671,34,32,right,10
0.796068879,31,40,left,15
0.088541021,29,31,left,13
0.349215113,28,34,left,11
0.985428501,33,28,right,11
0.526671257,29,45,left,11
0.591489805,30,26,right,10
0.956308742,26,33,left,10
0.491432096,30,34,left,10
0.114025863,29,32,left,11
0.497221713,35,43,left,13
0.429274066,26,29,left,15
0.682929879,33,39,left,11
0.06917738,31,27,right,13
0.307228587,28,32,left,14
0.808562222,26,35,left,13
0.584788909,27,26,right,10
0.8002288,34,25,right,15
0.772316129,27,34,left,11
0.776155681,25,27,left,12
0.80330918,31,39,left,11
0.639648866,27,31,left,14
0.826893155,26,26,left,13
0.103061827,33,36,left,13
0.552267806,31,44,left,12
0.373243783,30,42,left,11
0.024798164,34,40,left,14
0.870663725,32,44,left,14
0.966201022,34,43,left,13
0.52142573,30,41,left,15
0.641276229,28,25,right,11
0.816482955,31,27,right,12
0.199317684,31,45,left,14
0.579546255,26,40,left,12
0.600967344,26,36,left,12
0.658930572,32,34,left,14
0.309774742,34,32,right,11
0.24083695,27,32,left,10
0.026873521,29,25,right,15
0.657877668,27,39,left,11
0.705786133,33,28,right,13
0.841039123,32,40,left,10
0.77237973,30,40,left,12
0.07567572,26,37,left,11
0.078594725,28,32,left,12
0.28718367,32,31,right,12
0.935369185,28,40,left,11
0.707995253,34,36,left,10
0.674899832,29,40,left,13
0.364923283,27,35,left,14
0.095507996,33,26,right,15
0.266649386,27,38,left,11
0.76492735,34,25,right,14
0.246072171,28,44,left,13
0.407285013,28,38,left,13
0.315598144,27,45,left,13
0.186761104,32,37,left,15
0.748755384,35,35,left,15
0.477670307,28,43,left,15
0.271280452,34,31,right,10
0.956119308,26,41,left,13
0.103079019,25,45,left,13
0.130179701,27,31,left,13
0.251231677,27,44,left,12
0.921527727,28,43,left,13
0.799039257,28,35,left,15
0.650714243,33,36,left,12
0.033094604,32,35,left,12
0.856554121,30,36,left,15
0.510247142,32,43,left,11
0.192811845,30,42,left,13
0.234286439,25,45,left,12
0.538644147,27,42,left,13
0.757745437,27,31,left,12
0.157468171,26,32,left,12
0.455324027,30,42,left,10
0.020395934,25,45,left,10
0.98585113,29,33,left,14
0.480349364,25,27,left,13
0.480367047,25,39,left,13
0.402494453,30,28,right,14
0.947945614,26,41,left,11
0.675319755,26,43,left,15
0.04615003,35,41,left,12
0.187829318,35,37,left,10
0.63340322,31,35,left,11
0.877690516,35,33,right,14
0.007772028,35,40,left,14
0.674705048,27,33,left,13
0.359376391,25,28,left,14
0.997682791,28,36,left,11
0.051064251,35,45,left,11
0.951009042,25,38,left,11
0.774057725,35,29,right,13
0.732479736,31,33,left,14
0.839401,31,32,left,11
0.190658956,32,34,left,12
0.711893567,30,40,left,14
0.780856267,32,36,left,11
0.828328196,34,28,right,14
0.196667559,28,30,left,12
0.051810574,34,44,left,12
0.501066545,31,33,left,11
0.743538292,27,28,left,11
0.348437507,33,41,left,14
0.366814811,33,43,left,14
0.321366959,30,25,right,14
0.121878014,25,25,left,15
0.990050007,29,34,left,12
0.563762422,35,37,left,12
0.755206998,26,33,left,12
0.263045781,33,43,left,11
0.189610582,33,40,left,14
0.630309273,31,37,left,11
0.235038861,35,44,left,10
0.954822345,34,25,right,13
0.093885545,35,27,right,15
0.852451222,31,37,left,11
0.877527498,25,26,left,14
0.613190657,34,25,right,11
0.612334246,34,34,left,10
0.702009282,31,43,left,13
0.190843822,32,32,left,11
0.167824271,29,38,left,11
0.054266678,26,26,left,10
0.352759614,25,32,left,12
0.967871716,29,36,left,13
0.114146663,27,42,left,15
0.132414311,25,39,left,11
0.150376701,26,26,left,14
0.701941264,32,27,right,14
0.96927895,33,25,right,14
0.419006767,26,36,left,10
0.065639815,26,40,left,12
0.884113232,33,34,left,15
0.057562399,27,34,left,12
0.030375215,33,33,left,13
0.590841098,35,25,right,15
0.117491158,26,32,left,11
0.772297489,34,41,left,14
0.155075916,25,41,left,11
0.06420733,35,27,right,15
0.553318941,27,39,left,11
0.355818555,25,41,left,13
0.997850673,29,27,right,13
0.906725836,28,43,left,11
0.614464148,34,27,right,15
0.032668479,29,28,right,10
0.054984183,30,38,left,10
0.618413797,32,26,right,13
0.916342828,30,37,left,13
0.810224479,30,29,right,12
0.730263913,25,37,left,15
0.112019111,26,29,left,10
0.765286904,31,33,left,15
0.320038764,27,43,left,14
0.316449884,29,27,right,11
0.38631801,33,25,right,10
0.55152139,25,27,left,12
0.269693445,28,29,left,12
0.113935568,25,45,left,14
0.711799173,26,40,left,10
0.755908861,25,30,left,14
0.418511215,29,37,left,10
0.412317726,26,32,left,15
0.211401567,34,30,right,15
0.967806467,28,42,left,11
0.049107881,33,26,right,14
0.178220345,30,40,left,15
0.444234582,29,42,left,15
0.025347696,28,30,left,11
0.496691133,26,43,left,15
0.693394114,32,34,left,15
0.566203872,25,31,left,10
0.106068377,34,33,right,10
0.493787576,34,43,left,15
0.992057742,33,27,right,11
0.081245685,27,44,left,15
0.69486059,30,39,left,10
0.659968385,31,38,left,11
0.380404443,25,31,left,10
0.023041589,30,43,left,10
0.791417595,30,37,left,14
0.304875808,26,29,left,10
0.110823,26,39,left,12
0.733085411,25,35,left,13
0.852268314,30,27,right,13
0.726439601,32,27,right,13
0.775837606,31,31,left,11
0.63513157,34,43,left,14
0.63026967,31,40,left,15
0.009342405,32,25,right,15
0.90644979,30,33,left,15
0.352160043,30,40,left,12
0.029760544,34,35,left,13
0.542975288,29,38,left,11
0.275460401,25,28,left,11
0.788186023,25,33,left,13
0.877181762,27,45,left,11
0.397663489,25,34,left,11
0.402338635,31,29,right,12
0.13696353,27,30,left,12
0.008539744,35,38,left,15
0.130934621,33,25,right,10
0.115132913,35,44,left,12
0.876033238,25,25,left,10
0.996961683,34,41,left,13
0.340329957,30,35,left,12
0.714454103,25,39,left,10
0.317455153,33,32,right,12
0.534829678,30,26,right,14
0.471853425,32,28,right,15
0.781723425,34,35,left,10
0.555712793,31,31,left,13
0.033239099,26,29,left,12
0.535821788,29,44,left,14
0.798205585,30,26,right,14
0.931210657,28,37,left,15
0.800968865,34,33,right,13
0.448144849,31,43,left,10
0.790426986,34,31,right,12
0.195991013,28,25,right,10
0.206126463,33,26,right,10
0.01547055,26,32,left,11
0.658428412,30,31,left,15
0.545444002,31,32,left,14
0.978379731,35,28,right,13
0.325609687,26,35,left,11
0.525131596,26,45,left,15
0.930212456,34,42,left,14
0.457537782,32,30,right,12
0.758952007,35,39,left,13
0.809250872,31,34,left,14
0.464695405,29,36,left,11
0.028432869,26,34,left,13
0.392601397,35,29,right,12
0.540876289,28,25,right,14
0.314063456,29,39,left,11
0.823507771,32,26,right,12
0.639753143,35,30,right,14
0.810002634,25,41,left,14
0.304411219,26,39,left,15
0.560273708,32,42,left,12
0.979036688,31,34,left,11
0.21249775,31,30,right,14
0.99469979,28,34,left,14
0.383768809,28,32,left,15
0.49194486,33,30,right,11
0.655712936,30,25,right,14
0.788638577,35,38,left,14
0.078379436,35,44,left,13
0.312010059,30,30,left,12
0.373330632,25,27,left,12
0.661864342,25,32,left,10
0.407350103,27,32,left,10
0.925031188,35,33,right,11
0.96882871,31,32,left,13
0.7422165,28,29,left,15
0.083575738,28,34,left,12
0.646574666,35,39,left,14
0.018741065,27,39,left,12
0.235570794,25,39,left,14
0.93139223,27,29,left,11
0.149945339,34,38,left,11
0.821493639,31,37,left,12
0.711409681,27,30,left,12
0.441711526,28,31,left,12
0.033821489,27,44,left,15
0.558334539,30,32,left,10
0.703939311,33,30,right,14
0.915230178,29,37,left,13
0.10946063,25,34,left,15
0.883070162,33,37,left,14
0.889160033,35,41,left,15
0.496879174,26,37,left,13
0.119805058,26,45,left,10
0.313648337,25,42,left,15
0.322231021,31,30,right,11
0.519469758,26,30,left,15
0.221084425,30,43,left,13
0.210304468,28,38,left,11
0.499790683,29,41,left,11
0.20996477,34,37,left,11
0.970537251,34,35,left,15
0.210706304,34,38,left,11
0.562016569,32,45,left,15
0.258812235,25,35,left,13
0.342716635,31,34,left,10
0.353309079,33,37,left,11
0.406166588,35,40,left,12
0.900451672,33,31,right,14
0.959647009,26,43,left,14
0.407695691,35,42,left,11
0.110483201,33,35,left,12
0.333908503,27,34,left,10
0.94177488,28,36,left,10
0.961023458,35,35,left,10
0.869973744,35,37,left,13
0.862781365,33,27,right,14
0.772136146,26,41,left,12
0.368360594,29,37,left,13
0.851162332,34,36,left,11
0.256561056,28,36,left,13
0.34419248,34,40,left,10
0.712182819,35,35,left,14
0.524637588,27,38,left,12
0.523399433,33,41,left,13
0.751177384,27,36,left,12
0.527128791,28,42,left,11
0.899824874,29,38,left,12
0.874132734,33,39,left,10
0.1182071,34,31,right,15
0.457189892,25,39,left,15
0.759129158,27,34,left,11
0.697728785,35,40,left,12
0.507458254,30,25,right,10
0.403550824,34,26,right,12
0.027671819,26,40,left,13
0.90640141,26,33,left,14
0.835385049,32,28,right,13
0.936358046,25,32,left,13
0.365256056,28,38,left,11
0.463714655,30,38,left,13
0.947107164,29,27,right,13
0.020245764,34,37,left,11
0.583903969,34,43,left,15
0.18159343,28,43,left,11
0.571747804,31,36,left,13
0.664998877,30,39,left,10
0.775694292,35,42,left,15
0.796839871,27,42,left,14
0.297757668,35,33,right,13
0.205837685,30,40,left,12
0.535357251,34,29,right,12
0.589318339,32,43,left,12
0.944253996,26,37,left,11
0.78405075,25,40,left,10
0.525591059,33,30,right,10
0.655320452,25,44,left,10
0.001015717,32,41,left,11
0.718424929,33,43,left,11
0.114417464,33,34,left,12
0.660751355,27,27,left,14
0.824701324,27,30,left,11
0.134311818,31,45,left,12
0.05680302,31,38,left,10
0.537190029,27,41,left,12
0.400973786,32,43,left,10
0.204717156,28,40,left,12
0.793047277,33,31,right,10
